Teff,xi,muFast,alpha,stdVal,meanVal,u_stdVal,u_meanVal,ur_stdVal,ur_meanVal
4.6178840,0.4896569,0.0977829,0.0008075,0.0385557,0.0243633,0.0572474,0.0236650,0.0890657,0.0448644
3.2882322,0.2832744,0.0618949,0.0007404,0.0397668,0.0357480,0.0320496,0.0035104,0.0990157,0.0302849
3.5533790,0.3382185,0.0688678,0.0007469,0.0375143,0.0321203,0.0360820,0.0085540,0.1644877,0.0205933
3.5120975,0.3950544,0.1205934,0.0007106,0.0441957,0.0273980,0.0673294,0.0244621,0.0915311,0.0461609
5.1154952,0.5849020,0.0699973,0.0006345,0.0281810,0.0170406,0.0357935,0.0145367,0.0848911,0.0492194
5.1024417,0.2081755,0.0764001,0.0004217,0.0489097,0.0490353,0.0400943,0.0154393,0.0902717,0.0471704
4.9897483,0.5985568,0.1012870,0.0006815,0.0388978,0.0232836,0.0577157,0.0248210,0.0933737,0.0448999
5.0693184,0.4096154,0.1092089,0.0006670,0.0417270,0.0311632,0.0653518,0.0250334,0.1015168,0.0458933
4.5790588,0.2880915,0.0700382,0.0009126,0.0441816,0.0431555,0.0371525,0.0108451,0.0782406,0.0398639
4.6712673,0.5235534,0.0969062,0.0009832,0.0377593,0.0230611,0.0564152,0.0234704,0.0898654,0.0436148
4.5389831,0.3871462,0.0837506,0.0009260,0.0381371,0.0312044,0.0473508,0.0228547,0.0926269,0.0447729
5.3281587,0.4715728,0.0622804,0.0006945,0.0299427,0.0271878,0.0351319,0.0098971,0.1062093,0.0257122
4.5905934,0.4019120,0.0760979,0.0007956,0.0351448,0.0285715,0.0390812,0.0167828,0.0823481,0.0478571
4.5623202,0.2747450,0.0490535,0.0007755,0.0435055,0.0404872,0.0248916,0.0020971,0.0829151,0.0186663
5.4399249,0.3492194,0.0569502,0.0008240,0.0395872,0.0380597,0.0312482,0.0060956,0.0867524,0.0354663
4.3258484,0.4142436,0.0691142,0.0004992,0.0318552,0.0262790,0.0360785,0.0106261,0.0764255,0.0410524
5.0790344,0.4724370,0.1081758,0.0007638,0.0417734,0.0300814,0.0635367,0.0254583,0.1034260,0.0432224
5.2219938,0.4443331,0.0785596,0.0006036,0.0349219,0.0270293,0.0430645,0.0189832,0.0939253,0.0453570
4.8948457,0.4346742,0.0409339,0.0006660,0.0302708,0.0239190,0.0309250,0.0041699,0.0826729,0.0291048
4.9031761,0.4111360,0.0736842,0.0008706,0.0362307,0.0308707,0.0384622,0.0150528,0.0817420,0.0480687
3.5088429,0.6900893,0.0871095,0.0006983,0.0284553,0.0141904,0.0452901,0.0219900,0.1022385,0.0368070
4.8601270,0.4025913,0.0618870,0.0005328,0.0346847,0.0316505,0.0340046,0.0071448,0.0768885,0.0371521
4.0355944,0.4009530,0.0688877,0.0007871,0.0328228,0.0277361,0.0355422,0.0095505,0.0865906,0.0375627
5.4349147,0.2929856,0.0723765,0.0007526,0.0446823,0.0458192,0.0390912,0.0129966,0.0869892,0.0478325
3.6373978,0.2307714,0.0451108,0.0010107,0.0436359,0.0391252,0.0229255,0.0026911,0.0703953,0.0138307
4.0416760,0.5580122,0.0784537,0.0005729,0.0304078,0.0155818,0.0400918,0.0167571,0.0791168,0.0435148
4.1864549,0.2539387,0.0857999,0.0007213,0.0478011,0.0402729,0.0489824,0.0205622,0.0939263,0.0424702
4.4341919,0.2577461,0.0651107,0.0009398,0.0456793,0.0466025,0.0355076,0.0071950,0.0825875,0.0329397
4.0739819,0.3763296,0.0672776,0.0008108,0.0353511,0.0309318,0.0366024,0.0072452,0.0855878,0.0345320
4.1158936,0.4146215,0.1045929,0.0008377,0.0399658,0.0265794,0.0599310,0.0238039,0.1042529,0.0536423
4.1804408,0.3588065,0.0792170,0.0006350,0.0388247,0.0309881,0.0408270,0.0163342,0.0765825,0.0441046
4.6427010,0.5267097,0.0761441,0.0005970,0.0307746,0.0175624,0.0389701,0.0173322,0.0846233,0.0458699
4.9841857,0.4604891,0.0978975,0.0007260,0.0381967,0.0269457,0.0568657,0.0245267,0.0909137,0.0427907
3.4265070,0.4311904,0.0717885,0.0006620,0.0304908,0.0200869,0.0353909,0.0094735,0.1533546,0.0200461
4.1672142,0.4496398,0.0766924,0.0007590,0.0328333,0.0223251,0.0388717,0.0158565,0.0770461,0.0452678
